Raw,Raw_Translated,Clean,Clean_Translated,Tag
"[FAKE] Para hindi na patuloy na mauto ang mga kapatid nating hindi marunong mag-fact check, visit the links below.","[FAKE] To keep our brothers and sisters from acting, visiting the links below.","Para hindi na patuloy na mauto ang mga kapatid nating hindi marunong mag-fact check, visit the links below.","To prevent our brothers from acting, visiting the links below.",0
"**pumasok nang masikip, gagraduate nang maluwag","** Enter tightly, Gagraduate loosely","pumasok nang masikip, gagraduate nang maluwag","enter tightly, graduate loosely",0
*nagsuot ng immunity bracelet*,*wears an immunity bracelet*,nagsuot ng immunity bracelet,wearing an immunity bracelet,0
/kinilig na parang tanga/,/shaved like a fool/,kinilig na parang tanga,dashing like a fool,1
ur heart is pure at nararamdaman yon ng mga taong pinaglalaban mo,ur heart is pure and the people you fight feel,your heart is pure at nararamdaman yon ng mga taong pinaglalaban mo,Your heart is pure and the people you fight feel,0
matagal na po akong magpapapansin sayo pero wala talaga ang sakit kasi lagi kitang inaabangan sa friendrequest ko pero wala parin pero di po ako sumuko kasi nga idol na idol kita at isa ka sa mga inpirasyon ko kung bat ako masaya,I've been paying attention to you for a long time but the pain is not really because I always look forward to my friendRequest but I still don't give up because I'm an idol and I'm one of my inspirations if I'm happy,"matagal na po akong nagpapapansin sayo pero wala talagang nangyayari. ang sakit para sa akin, kasi lagi kitang inaabangan sa friend request ko, pero wala parin. pero di po ako sumuko kasi nga ikaw ang idol na idol ko, at isa ka sa mga inpirasyon ko kung bakit ako masaya","I've been paying attention to you for a long time but nothing really happens. The pain for me, because I always look forward to my friend request, but still nothing. But I didn't give up because you are my idol, and you are one of my inspirations why I'm happy",1
"19k subszzzz!! salamat po.
we r C H N D T R c u sa next gig uWu","19k subszzzz!! salamat po.
we r C H N D T R c u sa next gig uWu","19k subszzzz!! salamat po.
we r C H N D T R c u sa next gig uWu","19k subszzzz!! salamat po.
we r C H N D T R c u sa next gig uWu",0
1st yan n rin ang prize,1st yan n also prize,1st yan na rin ang prize,1st that's the prize as well,0
35-year-old Filipino director Darryl Yap is listed by Forbes Magazine as one of the most obnoxious people in the world under 30.,35-year-old Filipino director Darryl Yap is listed by Forbes Magazine as one of the most obnoxious people in the world under 30.,35 year old Filipino director Darryl Yap is listed by Forbes Magazine as one of the most obnoxious people in the world under 30.,35 year old Filipino director Darryl Yap is listed by Forbes Magazine as one of the most obnoxious people in the world under 30.,1
5gb ano yan floppy disk,5gb ano yan floppy disk,"5 gb. Ano yan, floppy disk","5 GB. What is that, floppy disk",0
5 MINUTES BAGO KO NAGETS GANON NA ATA AKO KA BOBO,5 minutes before I did that I was so stupid,`,`,1
6 na lang sila kasi nabenta na yong 2pares. At super swerte ng nakabili kasi sure na healthy mga alaga ko.,They were only 6 because they had sold 2pares. And super lucky to buy because I'm sure my pets are healthy.,6 na lang sila kasi nabenta na yong 2pares. At super swerte ng nakabili kasi sure na healthy mga alaga ko.,They were only 6 because they had sold 2pares. And super lucky to buy because I'm sure my pets are healthy.,0
7yrs old na bata patay matapos ihampas sa kalsada ng sarili nyang ama,7yrs old child dead after being hit on the road of his own father,"7 years old na bata, patay matapos ihampas sa kalsada ng sarili nyang ama","7 years old boy, dead after being hit on the road of his own father",1
acads muna bago landi nako,Acads first before I leave,"acads muna bago maglandi, naku","Acads first before flirting, oh",1
"Active now, pero kahit seen wala. Pakamatay ka na","Active now, but even seen nothing. You're dead","Active now, pero kahit seen, wala. Pakamatay ka na","Active now, but even seen, nothing. You're dead",1
After calax construction buhay pa kaya ang ilog na ito,After Calax Construction Life is still this river,After calax construction buhay pa kaya ang ilog na ito,After Calax Construction Life is still this river,0
Agree ako jan Ayato hahahahh,Agree ako jan ayato hahahahh,Agree ako jan Ayato hahahahh,Agree ako jan ayato hahahahh,0
ah kaya naman pala ilang season na nagpapaubaya yung gawi para makahabol yung iba eme,"Ah, it is a few seasons that let the habits be able to catch up with the others",ah kaya naman pala ilang season na nagpapaubaya yung gawi para makahabol yung iba eme,"Ah, it is a few seasons that let the habits be able to catch up with the others",0
A-bobo na ba ang tawag dun ngayon,Is A-stupid call now,Ah. Bobo na ba ang tawag dun ngayon,Ah. Is the call stupid now,1
Ahh ok...madali lang maka ipon ^_^MAGKANO BA BAON MO ARAW ARAW,Ahh ok ... it's easy to get ^_ ^how much do you do everyday,Ahh ok...madali lang maka ipon MAGKANO BA BAON MO ARAW ARAW,Ahh ok ... it's easy to save how much do you have every day,0
"Akalain mo yun May times na kaya ko nang bumili ng mamahaling klase ng kape Samantalang noon, instant coffe sa mga sari-sari store lang medyo hirap pa minsan makabili.","You can imagine that there were times when I could buy expensive coffee types while in the past, instant coffe on diversified stores were just a bit hard to buy.","Akalain mo yun May times na kaya ko nang bumili ng mamahaling klase ng kape Samantalang noon, instant coffe sa mga sari-sari store lang medyo hirap pa minsan makabili.","You can imagine that there were times when I could buy expensive coffee types while in the past, instant coffe on diversified stores were just a bit hard to buy.",0
ako lang ba yung kahit na explain na ng instructor nyo di pa rin nagsi-sink in sa utak yung lesson huhu kaiyak,Am I the only one who explains that your instructor still doesn't sink into the brain lesson huhu crying,"ako lang ba yung kahit na explain na ng instructor, hindi pa rin nagsi-sink in sa utak yung lesson huhu gusto ko maiyak","Am I the only one who explains the instructor, still not sinking into the brain lesson huhu I want to cry",0
Ako lang ba Ako lang ba ang may girlfriend na ubod ng libog Huhu.,Am I the only one who has a girlfriend who is lustful.,Ako lang ba Ako lang ba ang may girlfriend na ubod ng libog Huhu.,Am I the only one who has a girlfriend who is lustful.,1
Ako na toh beh,I na toh beh,"Ako na ito, beh.","This is me, beh.",0
ako na kapitbahay yung sundalo,I am a neighbor of the soldier,ako na kapitbahay yung sundalo,I am a neighbor of the soldier,0
ako nga e kaya ko hanapin ung babae ng boyfriend ng kapitbahay namen,I am so I can find a girl's boyfriend of a neighbor,"ako nga e, kaya ko hanapin ung babae ng boyfriend ng kapitbahay namen","I do, so I can find a girl's boyfriend's girl",0
"Alam ko nman ehh, parang pagod kana pero gusto ko lang malaman kung 'STAY' ka paba or 'SUKO' Na...","I know ehh, that sounds tired but I just want to know if you 'stay' Paba or 'Suko' already ...","Alam ko naman ehh, parang pagod kana pero gusto ko lang malaman kung mag STAY ka paba or SUKO' ka Na...","I know ehh, it sounds like it's tired but I just want to know if you stay or give up ...",1
"Alam mo Jameson, walang mababastos kung walang nambabastos. Di ka ba love ng mama mo","You know Jameson, there is nothing to be bullied without the bullshit. Don't you love your mom","Alam mo Jameson, walang mababastos kung walang bastos. Hindi ka ba love ng mama mo","You know Jameson, there is nothing to be bullied if nothing is rude. Don't you love your mom",1
"alam mo kung baket walang nag-sstay sayo
; amboring mo kase, hirap intindihin, di maipagmamalaki, panget mo pa.","You know if no one stays with you
;;;;;;;;;;;;;;;;;;;;;;;; Amboring you are so hard, it's hard to understand, it's not proud, you are still.","alam mo kung baket walang nag-sstay sayoboring ka kase, mahirap intindihin, hindi maipagmamalaki, ang panget mo pa.","You know if you have no one to stay, it's hard to understand, it's not proud, you're still ugly.",1
"Anak enjoy lang,ingat kau jan,luv u and mis u","Children enjoy lang, remember you Jan, Luv U and MIS U","Anak enjoy lang,ingat kau jan,luv u and mis u","Children enjoy lang, remember you Jan, Luv U and MIS U",0
"Anak, noon maliit ka palang, ngayon maliit ka pa din. Yung totoo Minion ka ba Paki-explain! Labyuu!","Daughter, you were little, now you're still small. Are you true Minion please explain! Labyuu!","Anak, noon maliit ka palang, ngayon maliit ka pa din. Yung totoo Minion ka ba Paki-explain! Labyuu!","Daughter, you were little, now you're still small. Are you true Minion please explain! Labyuu!",0
kala nyo naman naramdaman nyo talaga kung ano totoong hirap dito sa pinas eh mga palamunin palang naman kayo. Tigilan nyo ko!,You really feel what really hurts here in Pinas and you are just kidding. Stop me!,"Ang akala nyo naman naramdaman niyo talaga kung ano totoong hirap dito sa Pilipinas, eh mga palamunin pa lang naman kayo. Tigilan nyo ko!","You think you really feel what really hurts here in the Philippines, you are just kidding. Stop me!",1
ang dumb talaga potah,the dumb really potah,ang dumb talaga potah (puta),the dumb really potah (hooker),1
pero kulang na lang i-save lahat ng spliced video ni VP Leni para siraan siya. Tanga ka AHAHAHAHAHa,But VP Leni's spliced ​​videos just don't save all the spliced ​​videos to discredit her. TANGA KA AHAHAHAHAHA,"Ang kulang na lang, i-save lahat ng spliced video ni VP Leni para siraan siya. Tanga ka AHAHAHAHAHa","What is missing is, Save all of VP Leni's spliced ​​videos to discredit her. TANGA KA AHAHAHAHAHA",1
Ang kulit talaga ni tatay digs hihihi,Daddy's really skinny digs will ask,Ang kulit talaga ni tatay digs. hihihi,Daddy Digs is really skinny. Hihihi,0
Ang liwanag sa dilim,The light in the dark,Ang liwanag sa dilim,The light in the dark,0
PANGET MO KA BONDING,You bonding bonding,ANG PANGET MO KASAMA SA BONDING.,Your ugly bonding.,1
ang panget na naman ng crop ayoko na,The crop of the crop is that I don't want to,"ang panget na naman ng pagka crop mo, ayoko na","The ugly crop of your crop, I don't want",1
Ang piyesang ito ay isa sa mga napili upang magpatuloy sa SEMI-FINALS.,This piece is one of those selected to continue in the semi-finals.,Ang piyesang ito ay isa sa mga napili upang magpatuloy sa SEMI-FINALS.,This piece is one of those selected to continue in the semi-finals.,0
Ang problemang ipinaglalaban ko ay ang katarungan na tila may presyo na,The problem I am fighting is justice that seems to be price,Ang problemang ipinaglalaban ko ay ang katarungan na tila may presyo na,The problem I am fighting is justice that seems to be price,0
"Ang sakit pala sa feeling na minsan yung MGA taong sobra mong pinagkakatiwalaan at the same time bestfriends mo, ay wala ng tiwala sayo.","It hurts to feel that sometimes the people you trust and the same time best friends with you, are out of confidence.","Ang sakit pala sa feeling na minsan yung MGA taong sobra mong pinagkakatiwalaan at the same time bestfriends mo, ay walang tiwala sayo.","It hurts to feel that sometimes the people you trust and the same time best friends with, are not confident.",1
Ang sakit sakit ng mareject at masayang ang Effort mo. Nakakapagod na.,The pain of the mareject and your effort is happy. It's tiring.,Ang sakit sakit ng mareject at masayang ang Effort mo. Nakakapagod na.,The pain of the mareject and your effort is happy. It's tiring.,0
"Angelica Tumang ngayong malapit kana makulong iwan mo na lang sa akin yang boyfriend mo aalagaan ko yan plamisss
Nickole Gamboa Tayo na lang magsama","Angelica is now close to being trapped just leave me with your boyfriend I will take care of that plamisss
Nickole Gamboa let's just go together","Angelica Tumang ngayong malapit ka na makulong, iwan mo na lang sa akin yang boyfriend mo aalagaan ko yan, pangako. Nickole Gamboa, tayong dalawa na lang magsama.","Angelica Tumang Now you're about to be jailed, just leave me your boyfriend I'll take care of it, promise. Nickole Gamboa, the two of us are just together.",1
"Angeline Quinto may pa-face reveal ni Baby Sylvio, nagulat sa natuklasan sa partner na si Nonrev","Angeline Quinto with Baby Sylvio's face reveal, surprised by the discovery of partner Nonrev","Angeline Quinto may pa-face reveal ni Baby Sylvio, nagulat sa natuklasan sa partner na si Nonrev","Angeline Quinto with Baby Sylvio's face reveal, surprised by the discovery of partner Nonrev",1
"ANO BA ’TONG PANGALAN KO, TRAIN'","What is my 'name, Train'","ANO BA ’TONG PANGALAN KO, TRAIN'","What is my 'name, Train'",0
Ano ba yan Jose Rizal ang dami mong alam puro ka na lang reklamo pasulat-sulat ka pa tumulong ka na lang sa simbahan at sa gobyerno ng España!,What is Jose Rizal you know is that you are just complaining that you have just helped the church and the Spanish government!,"Ano ba yan Jose Rizal ang dami mong alam puro ka na lang reklamo pasulat-sulat ka pa, tumulong ka na lang sa simbahan at sa gobyerno ng España!","What is Jose Rizal as you know that you are just complaining that you are still writing, just help the church and the Spanish government!",1
Ano bang gamot sa pamamaga,What is the medicine in the swelling,Ano bang gamot sa pamamaga,What is the medicine in the swelling,0
"Ano kya feeling ng isang lumang cell phone pag pinalit siya sa mas bago....
haixxxtttt..
or feeling ng isangtao pag pinalit sa ibang mas bago......","How does he feel about an old cell phone when he is replaced by a new one ....
HAIXXXTTTT ..
or feeling a man when it was replaced with another new ......","Ano kya feeling ng isang lumang cell phone pag pinalit siya sa mas bago....
hay, or feeling ng isang tao kapag pinagpalit sa ibang mas bago......","How does he feel about an old cell phone when he is replaced by a new one ....
Hay, or a person's feeling when exchanged with another new one ......",0
ANO NA NANGYAYARI PUNYETA,What is happening punch,ANO NA NANGYAYARI PUNYETA,What is happening punch,1
Ano pong susuotin tomorrow Salamat.,What to wear tomorrow thanks.,Ano pong susuotin tomorrow Salamat.,What to wear tomorrow thanks.,0
Ano yung closure Kabaliktaran ba iyun ng disclosure,What is the closure opposite of the disclosure,Ano yung closure Kabaliktaran ba iyun ng disclosure,What is the closure opposite of the disclosure,0
so anu sisimulan naba natin ang pa cupsleeve para sa buthiing Mayor namin ng Pasig na si Vico,So we're going to start the cupsleeve for our Pasig mayor Vico,"Ano sisimulan na ba natin ang pa cupsleeve para sa buthiing Mayor namin sa Pasig, na si Vico ","What are we going to start with the Cupsleeve for our Pasig mayor, Vico",0
ANO PALAG,Ano palang,ANO. PALAG,What. Palang,0
anong nanahimik leni supporters ulol 6 years kaming magsh-shitposting,What a silence Leni Supporters Ulol 6 years we will shitposting,"anong nanahimik leni supporters, ulol 6 years kaming mag shitposting","What a quiet Leni Supporters, we have 6 years shitposting",1
"Anong Twice anong Blackpink
gagu, sino bias mo sa Sexbomb","What twice what blackpink
Gagu, who is your bias in sexbomb","Anong Twice anong Blackpink
gagu. sino bias mo sa Sexbomb","What twice what blackpink
Gagu. who are you bias in sexbomb",1
Antaray ko daw makatingen alangan naman mag beautiful eyes ako edi nainlove ka,I think I can see how beautiful eyes I am and you have been,Antaray ko daw makatingen alangan naman mag beautiful eyes ako edi nainlove ka,I think I can see how beautiful eyes I am and you have been,0
Anu ba yan ang bagal ng internet,What is the internet's slowness,Anu ba yan ang bagal ng internet,What is the internet's slowness,0
are you a nurse din po,are you a nurse din po,are you a nurse din po,are you a nurse din po,0
Atleast di tayo binigo ng iba nating ka-Batangas,Atleast we are not disappointed by the rest of us,"Atleast di tayo binigo ng iba nating ka-""Batangas""","Atleast our other ""Batangas"" has not disappoint us",0
awit may quiz padin HAHAHA,song may quiz padin hahaha,awit. may quiz padin HAHAHA,song. may quiz padin hahaha,0
Awts gege po,Awts gege po,Awts gege po,Awts gege po,0
"Ay tanga proud ka pa na pinag tatawanan tayo, panoorin mo yung video na may subtitles hahahahaha","You are so proud to laugh at us, watch the video with subtitles hahahahaha","Ay tanga proud ka pa na pinag tatawanan tayo, panoorin mo yung video na may subtitles hahahahaha","You are so proud to laugh at us, watch the video with subtitles hahahahaha",1
ay ano ba dapat recount,is what should recount,ay. ano ba dapat recount,Ay. What should be recount,0
Ayie ang lalaki at ang lulusog ng 1st batch babies ko. Napakakintab ng balahibo niyo..,Ayie is the man and my 1st batch babies. Your fur is so glossy ..,Ayie ang lalaki at ang lulusog ng 1st batch babies ko. Napakakintab ng balahibo niyo..,Ayie is the man and my 1st batch babies. Your fur is so glossy ..,0
Ayoko dumating sa point na ganto na desisyon ko sa buhay,I don't want to come to the point that my decision in life,Ayoko dumating sa point na ganto na desisyon ko sa buhay,I don't want to come to the point that my decision in life,0
Ayoko na Ayoko na talaga. Lord help me please. Di ako makapagreview at makagawa ng kahit na ano dahil sa sigawan na naman nila.,I don't really like it. Lord help me please. I couldn't review and do anything because they shouted again.,Ayoko na Ayoko na talaga. Lord help me please. Di ako makapagreview at makagawa ng kahit na ano dahil sa sigawan nila.,I don't really like it. Lord help me please. I couldn't review and do anything because of their shouting.,1
AYOKO NA MAGLIVESTREAM SUKO NA AKO BAHALA NA SI BATMAN MAGGAGAWA NA ALNG AKO NG ENGLISH TT_TT,I don't want to go to bed so I care that Batman will make me English TT_TT,"AYOKO NA MAG LIVESTREAM, SUSUKO NA AKO BAHALA NA SI BATMAN, GAGAWA NA LANG AKO NG ENGLISH","I don't want to livestream, I'll give up Batman, I'll just do English",0
"Ayoko na mag pahaba ng kuko jusko nakakairita.
Kaya dapat laging nag gugupit ng kuko.","I don't want to extend the nail jusko.
So you should always cut a nail.","Ayoko na mag pahaba ng kukomy god, nakakairita.
Kaya dapat laging nag gugupit ng kuko niyo.","I don't want to take a long way off, it's frustrating.
So you should always cut your nails.",0
Ayoko na magisip ng kung ano ano ngayon specially grades gusto ko muna magpakasaya at maglibang alam ko namang mahal ako ni God,I don't want to think about what now specially grades I want to have fun first and have fun I know God loves me,"Ayoko na magisip ng kung ano ano ngayon specially grades, gusto ko muna magpakasaya at maglibang, alam ko namang mahal ako ni God","I don't want to think about what now specially grades, I want to have fun and have fun, I know God loves me",0
Ayoko na magkagusto sa UP students. Inyo na 'yang tamang punctuations at perfect grammar niyo. Pagkatapos ng relationship kakailanganin mo ng therapy.,I don't like UP students. You have the right punctuations and your perfect grammar. After the relationship you will need therapy.,"Ayoko na magkagusto sa UP students. Sa inyo na 'yang tamang punctuations at perfect grammar niyo. Pagkatapos ng relationship, kakailanganin mo ng therapy.","I don't like UP students. You have the right punctuations and your perfect grammar. After the relationship, you will need therapy.",1
ayoko na ng laro na to,I don't like this game anymore,ayoko na ng laro na to,I don't like this game anymore,0
"Ayoko na sa earth
Wag din siyang mag simba sa linggo kung ganyan pa mukha niya sa lunes","I don't like Earth
He will not even have a week on Sunday if he looks like that on Monday","Ayoko na sa earth
Wag din siyang mag simba sa linggo kung ganyan pa mukha niya sa lunes","I don't like Earth
He will not even have a week on Sunday if he looks like that on Monday",1
Ayoko na ulit sumakay ng jeep. :3 Nakakahilo eh.,I don't want to ride a jeep again. : 3 Nakakao eh.,Ayoko na ulit sumakay ng jeep. :3 Nahilo ako,I don't want to ride a jeep again. : 3 I was dizzy,0
ayoko na putangina.,I don't want to put it down.,ayoko na. putangina.,Ayoko na. Putangina.,1
"Ayon na eh, nahuhulog na ako. Kaso bigla ka naman umalis, tinakbuhan mo ako.","By the way, I was falling. In case you suddenly left, you ran to me.","Ayon na eh, nahuhulog na ako. Kaso bigla ka naman umalis,tumakbo ka palayo sa akin.","By the way, I was falling. Case you suddenly leave, you run away from me.",0
Bago kong boyfriend huehueheue,My new boyfriend huehueheue,Bago kong boyfriend huehueheue,My new boyfriend huehueheue,0
"Bago pa man nila marinig ang aking unang iyak, agad na nilang nadiktahan ang aking buhay.","Before they could hear my first tears, they immediately realized my life.","Bago pa man nila marinig ang aking unang iyak, agad na nilang nadiktahan ang aking buhay.","Before they could hear my first tears, they immediately realized my life.",0
Bagong pilipinas,New Philippines,Bagong pilipinas,New Philippines,0
bagong pilipinas bagong mukha tapos marcos at duterte ulit gago ka ba.,New Philippines new face then Marcos and Duterte again are you crazy.,bagong pilipinas bagong mukha tapos marcos at duterte ulit gago ka ba.,New Philippines new face then Marcos and Duterte again are you crazy.,1
"Bakit ""DP"" ang tawag sa profile picture natin diba dapat ""PP"" Sabagay, ang panget nga naman kung ganito...""Palike naman ng PP ko, like ko din yung PP mo.""""","Why is our profile picture ""DP"" a ""DP"" should be ""PP"", well, that's how bad it is ... ""My PP is like, I like your PP too."" ""","Bakit ""DP"" ang tawag sa profile picture natin hindi ba dapat ""PP"" Sabagay, ang panget nga naman kung ganito...""Palike naman ng PP ko, like ko din yung PP mo.""""","Why is our profile picture ""DP"" so ""PP"" shouldn't it be ""so bad if ...""",0
"BAKIT BA KAILANGAN MONG MAGPANGGAP BAKIT KULANG KA BA SA ATENSIYON KAYA MASYADO KA NANG PAPANSIN ANGEL'S FRIEND, KILALA KA NA NAMIN.","Why do you have to pretend why you lack attention so you notice Angel's friend too much, we know you.","BAKIT BA KAILANGAN MONG MAGPANGGAP BAKIT KULANG KA BA SA ATENSIYON KAYA MASYADO KA NANG PAPANSIN ANGEL'S FRIEND, KILALA KA NA NAMIN.","Why do you have to pretend why you lack attention so you notice Angel's friend too much, we know you.",1
bakit ba kayo takot na takot kay Leni Ano bang tinatago niyo haha MAG-WITHDRAW KA NA ISKO TUTAL TRAPO KA NAMAN!,Why are you so scared of Leni what are you hiding haha ​​you have to withdraw that you are so good!,bakit ba kayo takot na takot kay Leni Ano bang tinatago niyo haha MAG-WITHDRAW KA NA ISKO TUTAL TRAPO KA NAMAN!,Why are you so scared of Leni what are you hiding haha ​​you have to withdraw that you are so good!,1
bk8 ba lhat na lng cla napapaiyak ako...... Ayoko na una nagkagusto sa kaibigan ko tpos ngaun.... Haiiixxxt kainisss... Plssss kailangan ko ng karamay....,bk8 ba lhat na lng cla i am sure ...... i don't like first i like my friend tpos ngaun .... haiiixxxt kaissss ... plssss i need kaamay ....,bakit ba lahat na lang sila napapaiyak ako...... Ayoko na una nagkagusto sa kaibigan ko tapos ngayun.... Hay kainis... Please kailangan ko ng karamay....,why are they all so much crying for me ...... i don't like my friend first then .... hay nice ... please i need a lot ...,1
bat ganon ampanget ng pinalit sakin,Bat like that ampanget of being bought,"bakit ganon, ang panget ng taong pinagpalit sakin","Why is that, the ugly person who has been traded to me",1
