Raw,Raw_Translated,Clean,Clean_Translated,Tag,,,,,
ALAM MO BOLICK KUNG MINAHAL MO NGA SI TYANG HINDI KA MAGSASALITA ABOUT SOMETHING NA TOO PERSONAL RESPETO NALANG SA PRIVACY NG TAO NANLOKO KA NA NGA DINIFEND MO PA JUST TO SAVE YOUR FACE FOR WHAT ULOL KA NGA GAGO,You know Bolick if you love Tyang you don't talk about something too personal respect for people's privacy you cheated on it just to save your face for what you are so stupid,ALAM MO BOLICK KUNG MINAHAL MO NGA SI TYANG HINDI KA MAGSASALITA ABOUT SOMETHING NA TOO PERSONAL RESPETO NALANG SA PRIVACY NG TAO NANLOKO KA NA NGA DINIFEND MO PA JUST TO SAVE YOUR FACE FOR WHAT ULOL KA NGA GAGO,You know Bolick if you love Tyang you don't talk about something too personal respect for people's privacy you cheated on it just to save your face for what you are so stupid,1,,,,,
Alam na natin yan,We already know that,Alam na natin yan,We already know that,0,,,,,
Aliw si Cal,Comfort Cal,Aliw si Cal,Comfort Cal,0,,,,,
All i thought bukas siya aalis Hmm,All i thought tomorrow he was leaving hmm,All i thought bukas siya aalis Hmm,All i thought tomorrow he was leaving hmm,0,,,,,
and even though they both have their own families they never failed to call each other two or three times a week,and even though they both have their own families they never failed to call each other two or three times a week,and even though they both have their own families they never failed to call each other two or three times a week,and even though they both have their own families they never failed to call each other two or three times a week,0,,,,,
And lastly ug nagtuo mo duha na sakit pa sakung buot nagkauyab mo ulol wala koy paki ug uyab mo Kay tung buhi pas tatay didto ko naka ingon thank you wah mi nagka dayun ani na laki kay sakung atubangan you insult your grandfather infornt of me like sikasikahan nimo so disgusting,And lastly and you believe you have a bad thing you want to have a bad and your girlfriend alive pas dad I've been like you have a lot of love for you insult your grandfather inforters you so disgusting,And lastly ug nagtuo mo duha na sakit pa sakung buot nagkauyab mo ulol wala koy paki ug uyab mo Kay tung buhi pas tatay didto ko naka ingon thank you wah mi nagka dayun ani na laki kay sakung atubangan you insult your grandfather infornt of me like sikasikahan nimo so disgusting,And lastly and you believe you have a bad thing you want to have a bad and your girlfriend alive pas dad I've been like you have a lot of love for you insult your grandfather inforters you so disgusting,1,,,,,
and thats what makes them special they are real NOT plastic,and thats what makes them special they are real NOT plastic,and thats what makes them special they are real NOT plastic,and thats what makes them special they are real NOT plastic,0,,,,,
and yes i still kept it through many times and a lot of events she never failed to make sure that we were there specially mama,and yes i still kept it through many times and a lot of events she never failed to make sure that we were there specially mama,and yes i still kept it through many times and a lot of events she never failed to make sure that we were there specially mama,and yes i still kept it through many times and a lot of events she never failed to make sure that we were there specially mama,0,,,,,
Andamii nag aaya ng gala wag niyolo ayain di ako pinapayagan,Andamii welcomed the wanderer,"Andami nag aaya ng gala, wag niyo ko ayain di ako pinapayagan","And many invite the wandering, don't let me know I'm not allowed",0,,,,,
Ang agap naman umuwe ni seth,Seth's anxiety was overwhelmed,Ang agap naman umuwi ni seth,Seth's anxiety returned home,1,,,,,
Ang ayos ayos kong nanonood tapos maglalabas ka ng multo na contents Pakyu,I'm fine watching and you're going to release a ghost contents Pakyu,Ang ayos ayos kong nanonood tapos maglalabas ka ng multo na contents Pakyu,I'm fine watching and you're going to release a ghost contents Pakyu,1,,,,,
ang boring dto sa bahay,the boring dto at home,ang boring dito sa bahay,the boring here at home,1,,,,,
ang cute ni best blocker talaga,the cute of best blocker really,ang cute ni best blocker talaga,the cute of best blocker really,0,,,,,
ANG CUTE PLS,The cute pls,ANG CUTE PLS,The cute pls,0,,,,,
Ang gwapo mo,You are handsome,Ang gwapo mo.,You are handsome.,0,,,,,
ang gwapo so much,the handsome so much,ang gwapo so much,the handsome so much,0,,,,,
Ang hirap pag sinabihan ka ng tito mo na family friend natin yang si mam carlos hinay hinay sa mga sasabihin pero kakampink parin tayo yaan mo na ibang relatives natin,The difficulty is when your aunt told you that our family friend is Mam Carlos slowly to say but we are still in our other relatives,Ang hirap pag sinabihan ka ng tito mo na family friend natin yang si mam carlos. hinay hinay sa mga sasabihin pero kakampink parin tayo. yaan mo na ibang relatives natin,The difficulty is when your aunt told you that our family friend is Mam Carlos. Slowly in the words but we are still camping. You are our other relatives,0,,,,,
Ang hudas ah hahahahahaha,Ang hudas ah hahahahahaha,Ang hudas ah hahahahahaha,Ang hudas ah hahahahahaha,1,,,,,
Ang Ineeet potek,The ineeet potek,Ang Ineeet potek,The ineeet potek,1,,,,,
Ang isang Louie Romero ay hindi snob Best Setter na yarnnnn hahaha,A Louie Romero is not snob best setter yarnnnn hahaha,Ang isang Louie Romero ay hindi snob. Best Setter na yarnnnn hahaha,A Louie Romero is not a snob. Best setter na yarnnnn hahaha,0,,,,,
ang kapal din talaga ng mukha mo ano,The thickness of your face is really what,ang kapal din talaga ng mukha mo ano,The thickness of your face is really what,1,,,,,
Ang kilig ko di mapaglagyan,My cool,Ang kilig ko di mapaglagyan,My cool,0,,,,,
Ang lakas ng NU Pwede na pangSEA Games Hanap na lang ng matangkad na setter perhaps Baliton o convert Palomata UAAPSeason84,The strength of NU can be a game of games just to find tall setter perhaps baliton or convert palomata uaapseason84,Ang lakas ng NU Pwede na pangSEA Games Hanap na lang ng matangkad na setter perhaps Baliton o convert Palomata UAAPSeason84,The strength of NU can be a game of games just to find tall setter perhaps baliton or convert palomata uaapseason84,0,,,,,
Lakas ng ulan Pinas,Strength of rain pine,Ang lakas ng ulan Philippines,The Strength of Rain Philippines,0,,,,,
ang mahal ng shipping sa shapi pag sa visayas jusq hahaha,The Shipping of Shapi is expensive to Visayas Jusq hahaha,ang mahal ng shipping sa shapi pag sa visayas. jusq. hahaha,Shipping in Shapi is expensive when in Visayas. jusq. Hahaha,0,,,,,
Ang mahal talaga mabuhay magisa ha Yung basahan na tig 50 lang sa palengke samin 139 dito lol hmp,The love really lives alone ha the rags of only 50 in the marketplace 139 here lol hmp,Ang mahal talaga mabuhay magisa ha Yung basahan na tig 50 lang sa palengke samin 139 dito lol hmp,The love really lives alone ha the rags of only 50 in the marketplace 139 here lol hmp,0,,,,,
Ang motivational quotes natin for today ay wala parehas tayong tinatamad,Our motivational quotes for today are not the same,Ang motivational quotes natin for today ay wala parehas tayong tinatamad,Our motivational quotes for today are not the same,0,,,,,
Ang mura ang ganda pa,The cheap is still nice,"Ang mura, ang ganda pa","The cheap, the beauty is",0,,,,,
Ang paborito ko pong merienda ay ang i love you mo,My favorite snack is i love you you,Ang paborito ko pong merienda ay ang i love you mo.,My favorite snack is I love you.,0,,,,,
Ang taba ko na talaga San Jose del Monte Bulacan,My fat is really san jose del monte bulacan,Ang taba ko na talaga San Jose del Monte Bulacan,My fat is really san jose del monte bulacan,0,,,,,
ANG TANGA TANGA HUHUHUHU LORD HELP PENGENG PATIENCE ANG TANGA TANGA TALAGA,The fool fool huhuhuhu lord help pengeng patience the stupid fool really,ANG TANGA TANGA HUHUHUHU LORD HELP PENGENG PATIENCE ANG TANGA TANGA TALAGA,The fool fool huhuhuhu lord help pengeng patience the stupid fool really,1,,,,,
Ang weird nga ng algorithm nila,The weird of their algorithm,"Ang weird nga, ng algorithm nila","The weird is, their algorithm",0,,,,,
Angas nga eh haha,Angas nga eh haha,Angas nga eh haha,Angas nga eh haha,0,,,,,
animal required ba maglaklak ng efficascent after bowling,Animal Required Ba to Take EFFICASCENT AFTER BOWLING,animal required ba maglaklak ng efficascent after bowling,Animal Required Ba to Take EFFICASCENT AFTER BOWLING,1,,,,,
Ano baaaa matulog ka na pucha,What do you sleep,"Ano ba. matulog ka na, pucha","What. go to sleep, pucha",1,,,,,
Ano kayo mga boss Ulol,What are you bosses crazed,Ano kayo mga boss Ulol,What are you bosses crazed,1,,,,,
Ano man to si chief over masyado mag focus samin Buti pa ibang supervisor kay chill sa trainee nila,Whatever the Chief over is too much to focus on other supervisors with Chill in their trainee,Ano man to si chief over masyado mag focus samin Buti pa ibang supervisor kay chill sa trainee nila,Whatever the Chief over is too much to focus on other supervisors with Chill in their trainee,1,,,,,
ANO NA LASALLE,What a lasalle,ANO NA LASALLE,What a lasalle,0,,,,,
ANO NA LASALLE,What a lasalle,ANO NA LASALLE,What a lasalle,1,,,,,
Ano nalang westlife nalang next year,What is westlife next year,Ano nalang westlife nalang next year,What is westlife next year,0,,,,,
Anong chapter na ba to ng buhay ko hindi kilig binigay saken eh pagiisip,What chapter is this my life not to give me to think,Anong chapter na ba ito ng buhay ko Hindi kilig binigay saken kundi pagiisip,What chapter is this life of my life not to be given but thinking,0,,,,,
Anong chapter na ba to ng buhay ko hindi kilig binigay saken eh pagiisip,What chapter is this my life not to give me to think,Anong chapter na ba to ng buhay ko hindi kilig binigay saken eh pagiisip,What chapter is this my life not to give me to think,0,,,,,
anong forgive and forget Ulol isusumpa kita hanggang mamatay ka,What forgive and forget crazy will I swear to you until you die,anong forgive and forget Ulol isusumpa kita hanggang mamatay ka,What forgive and forget crazy will I swear to you until you die,1,,,,,
Anong gagawin ko Lord Sign Naman oh,What do i do lord sign again oh,Anong gagawin ko Lord Sign Naman oh,What do i do lord sign again oh,0,,,,,
anong kalokohan yung di pwede iproclaim kapag meron disqualification case ang isang partylist Bakit si Marcos naproclaim kahit may tax evasion case at disqualification TALAGA BA BINENTA NIYO NA MGA KALULUWA NIYO SA DEMONYO,What a nonsense that a partylist cannot claim when a disqualification case why Marcos naproclaim even has a tax evasion case and disqualification do you really sell your souls to demon,anong kalokohan yung di pwede iproclaim kapag meron disqualification case ang isang partylist Bakit si Marcos naproclaim kahit may tax evasion case at disqualification TALAGA BA BINENTA NIYO NA MGA KALULUWA NIYO SA DEMONYO,What a nonsense that a partylist cannot claim when a disqualification case why Marcos naproclaim even has a tax evasion case and disqualification do you really sell your souls to demon,1,,,,,
Another day in this universe,Another day in this universe,Another day in this universe,Another day in this universe,0,,,,,
antok na antok ako,I'm so sleepy,antok na antok ako,I'm so sleepy,0,,,,,
Any that cold shower felt really great And now time for a hot cup of coffee,Any that cold shower felt really great And now time for a hot cup of coffee,Any that cold shower felt really great And now time for a hot cup of coffee,Any that cold shower felt really great And now time for a hot cup of coffee,0,,,,,
Anyways dining na dinig ko kanina Yung tawa mo sa pang aasar Ng kaibigan nyo sa Isa sa Inyo huy ulol Ikaw lang wala nang ibaPero no its a big NO Hanggang crush lng Tau ngayun pre,Anyways dining I heard you laugh at your friend's laughter to one of you huy craz,Anyways dining na dinig ko kanina Yung tawa mo sa pang aasar Ng kaibigan nyo sa Isa sa Inyo huy ulol Ikaw lang wala nang ibaPero no its a big NO Hanggang crush lng Tau ngayun pre,Anyways dining I heard you laugh at your friend's laughter to one of you huy craz,1,,,,,
Apaka ganda naman ng jowa ko guys normal naman siguro ma ulol sa gantong kaganda,But my jowa guys are normal for me to be a bit of a jerk,Apaka ganda naman ng jowa ko guys. normal naman siguro ma ulol sa gantong kaganda,But my jowa guys are nice. It is normal for a lot to be used,1,,,,,
Apaka kapal ng mukha Dear 10 years na nakalipas Deds ka na para sakin Hindi deds na deds sayo ULOL,Apaka thickness of face 10 years ago you have been deds for me to not deds you to be crazy,Apaka kapal ng mukha Dear 10 years na nakalipas Deds ka na para sakin Hindi deds na deds sayo ULOL,Apaka thickness of face 10 years ago you have been deds for me to not deds you to be crazy,1,,,,,
arcanee Sige Basta libre ha send mo na loc mo,arcanee alright just free ha send you that loc,"arcane. Sige. Basta libre ha, send mo na location mo","Arcane. All right. Just free ha, send you location",0,,,,,
are feelings that never left,are feelings that never left,are feelings that never left,are feelings that never left,0,,,,,
Art is the best way to learn,Art is the best way to learn,Art is the best way to learn,Art is the best way to learn,0,,,,,
Asa bahay na ako ngayon nyo pa talaga ako tinadtaran ng tanong kanina naka live na ako ayaw nyo magtanong,Where am I home now that I have really asked the question before I live I don't want to ask,Asa bahay na ako ngayon nyo pa talaga ako tinadtaran ng tanong kanina naka live na ako ayaw nyo magtanong,Where am I home now that I have really asked the question before I live I don't want to ask,0,,,,,
At least diba nabawasan Ang ka stress,At least you have reduced your stress,At least diba nabawasan Ang ka stress,At least you have reduced your stress,0,,,,,
Awit yang 92 days hahaha kaya iwas muna ako sa pagpost eh hahaha baka ma fuck check din ako ng mga inutil,Song 92 days hahaha so i avoid posting first hahaha maybe i can fuck me too,Awit yang 92 days hahaha kaya iwas muna ako sa pagpost eh hahaha baka ma fuck check din ako ng mga inutil,Song 92 days hahaha so i avoid posting first hahaha maybe i can fuck me too,1,,,,,
ay go sige hahah may kilala pala ko,go go alright hahah i know something,ay go sige hahah may kilala pala ko,go go alright hahah i know something,0,,,,,
Ay gusto mag lead yung lutang,Would like to lead the floating,Ay gusto mag lead yung lutang,Would like to lead the floating,0,,,,,
ay korek punta ka samin walwal malala tayo,will you come to us we are worse,ay korek punta ka samin walwal malala tayo,will you come to us we are worse,0,,,,,
ay nako alam mo namang angel ako literal hsahahaa miss na kita ka roomate miss ko na pagiging marites mo,i know you know angel i literally hsahahaa i miss you roomate i miss being your marites,ay nako alam mo namang angel ako literal hsahahaa miss na kita ka roomate miss ko na pagiging marites mo,i know you know angel i literally hsahahaa i miss you roomate i miss being your marites,0,,,,,
ay pwede pero true to her character parang puede ring simpleng hanap gulo try na be controversial lang sa hiya haha tinry niya itop yung bag ball pit stop episode and parang di nag work kasi sobrang reach,It can be true but true to her character seems to also be a simple look for a mess to be controversial just in shame haha ​​she tinry it is the bag ball pit stop episode and she doesn't work because she's so reaching over,ay pwede pero true to her character parang puede ring simpleng hanap gulo try na be controversial lang sa hiya haha tinry niya itop yung bag ball pit stop episode and parang di nag work kasi sobrang reach,It can be true but true to her character seems to also be a simple look for a mess to be controversial just in shame haha ​​she tinry it is the bag ball pit stop episode and she doesn't work because she's so reaching over,0,,,,,
Ay so ito pala ang goal niyo Not to serve the Filipinos Mga ulol,So this is your goal not to serve the Filipinos crazy,Ay so ito pala ang goal niyo Not to serve the Filipinos Mga ulol,So this is your goal not to serve the Filipinos crazy,1,,,,,
ay pasensya napo,is sorry napo,"ay, pasensya na po","Ay, apologies",0,,,,,
ya Aba nabuksan din ung box Hahahaha,ya aba opened the box too hahahaha,ay. Aba nabuksan din ung box Hahahaha,Ay. Why did the box also open hahahaha,0,,,,,
Ayan jusko salamat sa ulan,Ayan jusko thanks for the rain,Ayan jusko salamat sa ulan,Ayan jusko thanks for the rain,0,,,,,
Ayoko magalit masakit ako magsalita,I don't get angry I hurt to speak,Ayaw ko magalit. Masakit ako magsalita,I don't want to be angry. It hurts to speak,1,,,,,
Ayaw na kita kasmaa,Habi welcomes Kita,Ayaw na kita kasama,I don't want you to be with,1,,,,,
Ayaw nya na talaga ako kasabay,He doesn't want me to be with you,Ayaw nya na talaga ako kasabay,He doesn't want me to be with you,0,,,,,
Ayoko magalit masakit ako magsalita,I don't get angry I hurt to speak,Ayoko magalit masakit ako magsalita,I don't get angry I hurt to speak,1,,,,,
Ayuko na talaga,That's really up,Ayoko na talaga,I don't really like it,1,,,,,
Back in my fave place again,Back in my fave place again,Back in my favorite place again,Back in my favorite place again,0,,,,,
Bad ka nananaman bunso ha,Bad you are rich youngest ha,Bad ka nananaman bunso ha,Bad you are rich youngest ha,0,,,,,
badly want to order phone cases na naman,badly want to order phone cases na naman,badly want to order phone cases na naman,badly want to order phone cases na naman,0,,,,,
Baguilat para sa aking bilat,Baguilat for my Bilat,Baguilat para sa aking bilat,Baguilat for my Bilat,1,,,,,
Baka hindi pa rin nila matanggap Maam,They may still not receive maam,"Baka hindi pa rin nila matanggap, Maam.","Maybe they still can't accept it, maam.",0,,,,,
Baka kailangan talagang maramdaman muna bago nila malaman na ganun pala,They may really need to feel it before they know that,Baka kailangan talagang maramdaman muna bago nila malaman na ganun pala,They may really need to feel it before they know that,0,,,,,
Bakit ka naman sumabit,Why are you hanging out,Bakit ka naman sumabit.,Why are you hanging out.,0,,,,,
Bakit may trabaho pa rin si Daryl Y. Viva pakiexplain,Why does Daryl Y. Viva Pakiexplain still have a job,Bakit may trabaho pa rin si Daryl Y. Viva pakiexplain,Why does Daryl Y. Viva Pakiexplain still have a job,0,,,,,
bala kana manghula hahaha,Bala kana yan prophesy hahaha,bala kana manghula. hahaha,That's a guess. Hahaha,0,,,,,
Balik workout tayo Sge,Let's go back to workouts sge,"balik workout tayo, sige","Let's go back to workouts, all right",0,,,,,
Bastus mo neng HAHAHAHAHHAHA,Bastus mo neng hahahahahhaha,Bastus mo neng. HAHAHAHAHHAHA,Bastus mo neng. Hahahahahhaha,0,,,,,
bat raw ang tagal ko amp sino ka ba,bat raw my duration amp who are you,bat raw ang tagal ko. amp. sino ka ba,Bat raw my duration. Amp. who are you,0,,,,,
bawal ka muna magtite HAHAHAHHAH,Don't let you know hahahahhah,bawal ka muna mag tite HAHAHAHHAH,Don't you tite first hahahahhah,1,,,,,
Bawal kasi demonyo sa Vatican kaya di siya mananalo doon Ang demonyo ba nakaakyat sa langit Haha,Because he is not a demon in the vatican so he will not win the demon as he ascends to heaven haha,Bawal kasi demonyo sa Vatican kaya di siya mananalo doon Ang demonyo ba nakaakyat sa langit Haha,Because he is not a demon in the vatican so he will not win the demon as he ascends to heaven haha,1,,,,,
Bayaran mo na lang sya kamo nako hirap nyan papagawa ka pa affidavit,You just pay for it for me to make you still affidavit,"Bayaran mo na lang sya kamo. Nako, hirap niyan. Magpapagawa ka pa ng affidavit","Just pay him back. Nako, that's hard. You will still make an affidavit",0,,,,,
been grinding crossworlds for a day now,been grinding crossworlds for a day now,been grinding crossworlds for a day now,been grinding crossworlds for a day now,0,,,,,
been grinding crossworlds for a day now. kapoy pagod,Been grinding crossworlds for a day now. Kapoy tired,been grinding crossworlds for a day now. kapoy pagod,Been grinding crossworlds for a day now. Kapoy tired,0,,,,,
Been tryin to order online but after 5 failed attempts ended up w PHThe reason ease of processing the online order using McDonalds online platform Thank you McDonalds for helping this hungry frontliner work properly,Been tryin to order online but after 5 failed attempts ended up w PHThe reason ease of processing the online order using McDonalds online platform Thank you McDonalds for helping this hungry frontliner work properly,Been trying to order online but after 5 failed attempts ended up with PH. The reason ease of processing the online order using McDonalds online platform. Thank you McDonalds for helping this hungry frontliner work properly,Been trying to order online but after 5 failed attempts ended up with PH. The reason ease of processing the online order using McDonalds online platform. Thank you McDonalds for helping this hungry frontliner work properly,0,,,,,
bigat ng pakiramdam ko,weight of my feeling,bigat ng pakiramdam ko,weight of my feeling,0,,,,,
Bigat ng pakiramdam kooo anxiety na nmn pota,Weight of feeling kooo anxiety na nmn pota,Bigat ng pakiramdam kooo anxiety na naman pota,Weight of feeling kooo anxiety again pota,1,,,,,
bigyan mo muna ako load,give me first load,bigyan mo muna ako load,give me first load,0,,,,,
Bigyan nyo halaga kahit simpleng bagay lang yan,Give it a simple value of that,Bigyan niyo halaga kahit simpleng bagay lang yan,Give it a simple value of that simple thing,0,,,,,
Birthday resignation,Birthday resignation,Birthday resignation,Birthday resignation,0,,,,,
b0bong marc0s indeed,b0bong marc0s indeed,BOBO MARCOS INDEED,BOBO MARCOS INDEED,1,,,,,
Bobo hanggang soju ka lang kasi,You are so stupid,"Bobo, hanggang soju ka lang kasi","Stupid, until soju you just",1,,,,,
Bolick NAPAKA ULOL MONG GAGO KA,Bolick very crazy you are crazy,Bolick NAPAKA ULOL MONG GAGO KA,Bolick very crazy you are crazy,1,,,,,
Bored as fuck,Bored as fuck,Bored as fuck,Bored as fuck,1,,,,,
Bottomline ayoko nang maging mabait,Bottomline I don't want to be kind,Bottomline ayoko nang maging mabait,Bottomline I don't want to be kind,1,,,,,
BRO GRADUATE KA NG POLITICAL SCIENCE MASTER KA NG PUBLIC ADMINISTRATION TAPOS BBM SUPPORTER KA PARA SAAN PA INARAL MO KUNG SUPPORTER KA NG DI SUMUSUNOD SA BATAS KADIRI,Bro graduate of political science master of public administration then BBM supporter for what else do you study if you are a supporter of non -obeying the law,BRO GRADUATE KA NG POLITICAL SCIENCE MASTER KA NG PUBLIC ADMINISTRATION TAPOS BBM SUPPORTER KA PARA SAAN PA INARAL MO KUNG SUPPORTER KA NG DI SUMUSUNOD SA BATAS KADIRI,Bro graduate of political science master of public administration then BBM supporter for what else do you study if you are a supporter of non -obeying the law,1,,,,,
BRO YOURE HOLDING AN IPHONE AND YOURE HERE TELLING US THAT YOURE POORSHUT YOUR FACE,BRO YOURE HOLDING AN IPHONE AND YOURE HERE TELLING US THAT YOURE POORSHUT YOUR FACE,BRO YOURE HOLDING AN IPHONE AND YOURE HERE TELLING US THAT YOURE POORSHUT YOUR FACE,BRO YOURE HOLDING AN IPHONE AND YOURE HERE TELLING US THAT YOURE POORSHUT YOUR FACE,0,,,,,
Bumili ng Nescafe Gold para sa libreng baso,Buy Nescafe Gold for free glasses,Bumili ng Nescafe Gold para sa libreng baso,Buy Nescafe Gold for free glasses,0,,,,,
buo na desisyon ko na magship ng course,my whole decision to take a course,buo na desisyon ko na magship ng course,my whole decision to take a course,0,,,,,
but most days and time Im so lost Mentally Im everywhere Physically Im sick Emotionally Im drained I have friends who always comfort me makes me happy but when Im alone Im lonely and miserableI have to be better because nothing will change if I keep on crying,but most days and time Im so lost Mentally Im everywhere Physically Im sick Emotionally Im drained I have friends who always comfort me makes me happy but when Im alone Im lonely and miserableI have to be better because nothing will change if I keep on crying,but most days and time Im so lost Mentally Im everywhere Physically Im sick Emotionally Im drained I have friends who always comfort me makes me happy but when Im alone Im lonely and miserableI have to be better because nothing will change if I keep on crying,but most days and time Im so lost Mentally Im everywhere Physically Im sick Emotionally Im drained I have friends who always comfort me makes me happy but when Im alone Im lonely and miserableI have to be better because nothing will change if I keep on crying,1,,,,,
buti pa siya,He's still good,buti pa siya,He's still good,0,,,,,
buy my nct dicon sealed na,buy my nct dicon sealed na,buy my nct dicon. sealed na,buy my nct dicon. sealed na,0,,,,,
Cant move but I have to,Cant move but I have to,Cant move but I have to,Cant move but I have to,0,,,,,
Charot Ulol,Charot Ulol,Charot Ulol,Charot Ulol,1,,,,,
charr pakyu,charr pakyu,charr pakyu,charr pakyu,1,,,,,
choosing this career means choosing me and my mama,choosing this career means choosing me and my mama,choosing this career means choosing me and my mama,choosing this career means choosing me and my mama,0,,,,,
Hoy wala akong boyfriend mga gagu hahahahaha nagising na lang ako ng puro messages ng congrats Tropa lang si ew,Hey I don't have a boyfriend gagu hahahahaha I just woke up with a pure messages of congrats troop just ew,Hoy wala akong boyfriend mga gago hahahahaha nagising na lang ako ng puro messages ng congrats Tropa lang si ew,Hey I don't have a boyfriend of crazy hahahahaha I just woke up with a pure messages of congrats troops just ew,1,,,,,
come and lets talk,come and lets talk,come and lets talk,come and lets talk,0,,,,,
Come join my Squad Let us face off against the worlds best MOBA players together,Come join my Squad Let us face off against the worlds best MOBA players together,Come join my Squad Let us face off against the worlds best MOBA players together,Come join my Squad Let us face off against the worlds best MOBA players together,0,,,,,
CONCLUSION NA LANG PAANO KO BA TO TATAPUSIN,Just conclude how can i finish,CONCLUSION NA LANG PAANO KO BA TO TATAPUSIN,Just conclude how can i finish,0,,,,,
Congrats ate,Congrats ate,Congrats ate,Congrats ate,0,,,,,
Congratulations Ganda naman talaga crush,Congratulations nice really crush,Congratulations Ganda naman talaga crush,Congratulations nice really crush,0,,,,,
