Raw,Raw_Translated,Clean,Clean_Translated,Tag
Hoping to see you again Siargao Book na ba ako Hahahaha,Hoping to see you again Siargao book me hahahaha,Hoping to see you again Siargao. Book na ba ako Hahahaha,Hoping to see you again Siargao. Book na ba ako hahahaha,0
Alam ko may aso po kami. Pero kailangan pa ba talaga picturan,I know we have a dog. But do you really need to be pictured,Alam ko may aso po kami. Pero kailangan pa ba talaga namin kuhanan ng litrato,I know we have a dog. But do we really need to take a picture,0
Himala walang nag unfollow sakin these past few days,Miracles have no unfollow me these past few days,Himala. Walang nag unfollow sa akin these past few days,Miracle. No one unfollow me these past few days,0
praktis lang at maulan,just practice and rainy,praktis lang at maulan,just practice and rainy,0
keeping my circle as small as it is and treasure all of them as much as I can,keeping my circle as small as it is and treasure all of them as much as I can,keeping my circle as small as it is and treasure all of them as much as I can,keeping my circle as small as it is and treasure all of them as much as I can,0
mas ewwww ka bayot hahahah,more ewwww ka bayot hahahah,mas nakakasuklam ka. Bakla hahahah,You are more disgusting. Gay hahahah,1
Taena nakakatamad mag duty masarap kumain,Taena Damn Duty Delicious Eat,Taena. nakakatamad mag duty. masarap kumain,Taena. It's a bad duty. It's nice to eat,1
Aminin nalang natin naguguluhan talaga ako once pumasok nako sa relationship Sana sya nalang Yung focus mo Hindi Yung iba pinopokus mo kaya nag aaway eh. Kaya ako tabi ko muna yan career muna,Let's admit that I was really confused once I went into a relationship that he would focus on your focus and not the one you focus on so fighting. So I'll be next to that career first,"Aminin nalang natin naguguluhan talaga ako once pumasok na ako sa relationship. Sana siya nalang Yung binigyan mo ng focus. Hindi dapat yung iba pinopokus mo. Yun ang dahilan kung bakit kayo nag aaway. Kaya ako, isasantabi ko muna yan. career muna","Let's admit that I'm really confused once I get into a relationship. I wish he had given the focus. You should not focus on others. That's why you're fighting. So I will, let me put it first. Career first",0
why cancelled my booking when it is nearly on the check in date i booked this a month or two prior,why cancelled my booking when it is nearly on the check in date i booked this a month or two prior,why did my booking get canceled when it is nearly on the check in date. I booked this a month or two prior,why did my booking get canceled when it is nearly on the check in date. I booked this a month or two prior,0
Nagkalat sila,They spread,Nagkalat sila,They spread,0
i feel bad huhu i'm really sorry please,i feel bad huhu i'm really sorry please,i feel bad huhu i'm really sorry please,i feel bad huhu i'm really sorry please,0
Tara kape Walay mang hagad birthday sex ngara kyawan lol hahaha Tabunan ang resting bitch nga nawong ang bilbil lng sa ipa kita,Tara Coffee No Birthday Sex Ngara Kyawan lol Hahaha cover the resting bitch face bilbil lng in Ipa,tara inom tayo kape. Walay mang hagad birthday sex ngara kyawan lol hahaha Tabunan ang resting bitch nga nawong ang bilbil lang sa ipa kita,Let's drink coffee. No birthday sex ngara kyawan lol hahaha cover the resting bitch face bilbil only,1
may kuto ka yuck,you have lice yuck,may kuto ka yuck,you have lice yuck,1
Ito na since marami nagtatanong Pero sa post grad hindi mo kailangan maging matalino ang kailangan mo maging masipag at dedikado,This is since many ask but in post grad you don't need to be smart what you need to be hardworking and dedicated,Ito na since marami nagtatanong. Pero sa post grad hindi mo kailangan maging matalino ang kailangan mo maging masipag at dedikado,This is since many are asking questions. But in the post grad you don't need to be wise as you need to be hardworking and dedicated,0
Karma will soon come collecting,Karma will soon come collecting,Karma will soon come collecting,Karma will soon come collecting,0
An active dumpsite in Tondo Manila is home to hundreds of families whose main source of income and food is from scavenging through garbage From May 17 May 31 Taco Mata will donate a portion of our proceeds to Join us,An active dumpsite in Tondo Manila is home to hundreds of families whose main source of income and food is from scavenging through garbage From May 17 May 31 Taco Mata will donate a portion of our proceeds to Join us,An active dumpsite in Tondo Manila is home to hundreds of families whose main source of income and food is from scavenging through garbage From May 17 May 31 Taco Mata will donate a portion of our proceeds to Join us,An active dumpsite in Tondo Manila is home to hundreds of families whose main source of income and food is from scavenging through garbage From May 17 May 31 Taco Mata will donate a portion of our proceeds to Join us,0
only acads can drain like this,only acads can drain like this,only acads can drain like this,only acads can drain like this,0
Gusto ko ng empanada,I want an empire,Gusto ko ng rissole,I want a rissole,0
yung mga kasama ko sa condo kanya kanya ng ka videocall tas ako tamang utot lang sa salas naols may nangangamusta,Those with me in the condo he had him with a videocall bag I was just flattering in the living room naols with greetings,yung mga kasama ko sa condo lahat may ka videocall. Tapos ako tamang utot lang ako sa sala. Sana lahat may nangangamusta,Those with me in the condo all have a videocall. Then I'm just right in the living room. Hope everyone is saying hello,0
Sometimes you have to make a decision that will definitely hurt your heart but will heal your soul,Sometimes you have to make a decision that will definitely hurt your heart but will heal your soul,Sometimes you have to make a decision that will definitely hurt your heart but will heal your soul,Sometimes you have to make a decision that will definitely hurt your heart but will heal your soul,0
Pwedeng hawakan habang wala pa ang may ari,Can be handled while the owner is not yet,Pwedeng hawakan habang wala pa dito ang may ari,Can handle while the owner is not here,0
A cup of coffee in this rainy day,A cup of coffee in this rainy day,A cup of coffee in this rainy day,A cup of coffee in this rainy day,0
Busy pa po sa graduation ng anak nya wag nyo naman pangunahan,He is still busy with his son's graduation,Busy pa po sa graduation ng anak nya wag nyo naman pangunahan,He is still busy with his son's graduation,0
Nagpakalat ka fake news pero ikaw pa yung pavictim Typical loyalist,You spread fake news but you are still the Pavictim Typical Loyalist,Nagpakalat ka fake news pero ikaw pa yung kumilos na parang biktima. Typical loyalist,You spread fake news but you still act like a victim. Typical loyalist,1
sana all patay,Hope all dead,sana all patay,Hope all dead,1
Excited for the First Communion tomorrow,Excited for the First Communion tomorrow,Excited for the First Communion tomorrow,Excited for the First Communion tomorrow,0
sino ba naman ako para bigyan ng two toned aquaflask diba,Who am I to give two toned aquaflask diba,sino ba naman ako para makakuha ng isang two toned aquaflask. Hindi ba,Who am I to get a two toned aquaflask. Is it not,0
nakakapikon ka naman parang tanga,You are a fool as a fool,nakakairita ka naman. parang kang tanga,You're frustrating. You look like a fool,1
Hirap naman nung may gusto kang kainin pero hindi mo alam kung ano,It's hard when you want to eat it but you don't know what,Hirap naman nung may gusto kang kainin pero hindi mo alam kung ano,It's hard when you want to eat it but you don't know what,0
Some things are better left unsaid,Some things are better left unsaid,Some things are better left unsaid,Some things are better left unsaid,0
Nakakamiss yung my kausap ka lagi,It's funny to talk to you again,Namimiss kong may kausap lagi sa akin,I miss someone who's always talking to me,0
Gloomy weather makes me sleepy pota,Gloomy weather makes me sleepy pota,Gloomy weather makes me sleepy pota,Gloomy weather makes me sleepy pota,0
Sana mag stop na yung rain I wanna see the moon na ulit,Hope to stop that Rain I wanna see the moon again,Sana mag stop na yung rain. I wanna see the moon na ulit,Hope the Rain stop. I wanna see the moon again,0
Hindi na talaga nagbago,Never really changed,Hindi na talaga nagbago,Never really changed,0
Matalino kang bata ka,You are smart,Matalino kang bata ka,You are smart,0
Anong masarap kainin,What a fine to eat,anong masarap kainin,What a fine to eat,0
ang sarap mag kape dito,the delicious coffee here,ang sarap uminom ng kape dito,the delicious drink of coffee here,0
Wag sana umulan para di putik daan bukas ng umaga,It would not have been raining for the muddy road tomorrow morning,Wag sana umulan para di putik daan bukas ng umaga,It would not have been raining for the muddy road tomorrow morning,0
nakakapagod makakita ng mga toxic people,Tired of seeing toxic people,nakakapagod makakita ng mga toxic people,Tired of seeing toxic people,0
Gusto ko kumain sa eatsumo Akala mo ang lapit eh,I want to eat at eatsumo you think the closer eh,Gusto ko kumain sa eatsumo. Akala mo ang lapit eh,I like to eat at Eatsumo. You think the close eh,0
"Everytime nakakakita ako ng mga nasa baguio, naiinggit ako","Everytime I see those in Baguio, I'm jealous","Everytime nakakakita ako ng mga nasa baguio, naiinggit ako","Everytime I see those in Baguio, I'm jealous",0
LORD KUNG HINDI PO KAYO BUSY PAHINGI NG MOTIVATION PARA MAGLABA,Lord if you are not busy asking for motivation for laundry,"LORD KUNG HINDI PO KAYO BUSY, HUMIHINGI PO AKO NG MOTIVATION PARA MAGLABA","Lord if you are not busy, I am asking for motivation for laundry",0
Bakit ginagawang insulto ang pagiging bakla,Why is it being an insult to being gay,Bakit ginagawang insulto ang pagiging bakla,Why is it being an insult to being gay,0
sobrang nayayamot ako sabay sabay na kayo,I was so annoyed at the same time as you were,sobrang nayayamot ako. sabay sabay na kayo,I was very annoyed. at the same time you,0
Bakit ang tagal tagal na dumating ng mga parcels from overseas. Dumating na kayo before 26 please,Why the duration of the parcels from overseas. Come on before 26 please,Bakit ang tagal tagal na dumating ng mga parcels from overseas. Dumating na kayo before 26 please,Why the duration of the parcels from overseas. Come on before 26 please,0
hindi ako handa. Kalma lang,I'm not ready. Keep calm,hindi ako handa. Kalma lang,I'm not ready. Keep calm,0
"Di man ako kasing pogi ng crush mo, pero masmagaling naman ako mag deep throat","I'm not as good as your crush, but I'm good at deep throat","Di man ako kasing pogi ng crush mo, pero mas magaling naman ako mag deep throat","I'm not as good as your crush, but I'm better off deep throat",1
Iyak malala kapag ganon,Cry worse,Iyak malala kapag ganoon,Cry worse,0
nakakawalang gana lahat pati pag gawa ng mga schoolworks at magreview,It is all fun to do as well as schoolworks and reviews,nakakawalang gana lahat pati pag gawa ng mga schoolworks at magreview,It is all fun to do as well as schoolworks and reviews,0
"Dami ko na nagawa today, except magtrabaho. So proud of myself.","I've done a lot today, except to work. So proud of myself.","Dami ko na nagawa today, except magtrabaho. So proud of myself.","I've done a lot today, except to work. So proud of myself.",0
Tanga mo pa para mas malaki ang bayad,You fool to pay more,Tangahan mo pa para mas malaki ang bayad,You will take more to pay more,1
Ibang paglipat po yan,That's a different move,Ibang paglipat po yan,That's a different move,0
mamamatay na ako from soft drinks,I'm going to die from soft drinks,mamamatay na ako from soft drinks,I'm going to die from soft drinks,1
Tumagos pa nga,Penetrate more,Tumagos pa nga,Penetrate more,0
GUSTO NA KITA SUMBUTAN PERO CHILL LANG HAHAHA SAKA NA PAGKAHARAP NA KITA,I want to beat you but chill just hahaha then I will face you,GUSTO NA KITA SUMBATAN PERO CHILL LANG HAHAHA SAKA NA PAGKAHARAP NA KITA,I want to criticize you but chill just hahaha then I will face you,1
Baka meron na nga,Maybe it's already,Baka meron na nga,Maybe it's already,0
Miss ko na kayong lahat,I miss you all,Miss ko na kayong lahat,I miss you all,0
Excited na ako para sa sabado kaya lang baka di matuloy,I was excited for Saturday so maybe he couldn't continue,Excited na ako para sa sabado kaya lang baka di matuloy,I was excited for Saturday so maybe he couldn't continue,0
Sana may marinig o mabasa akong good news buka,Hope someone can hear or read good news open,Sana may marinig o mabasa akong good news bukas,Hope someone can hear or read good news tomorrow,0
Ang cute ko,I am cute,Ang cute ko,I am cute,0
hindi nanaman makatulog,Can't sleep,hindi nanaman makatulog,Can't sleep,0
nahuli tuloy ako na nakauwi na,I was caught up to be home,nahuli tuloy ako na nakauwi na,I was caught up to be home,0
Tagal nung ulan napapaligo na ako,It was raining so long that I was bathing,Tagal nung ulan napapaligo na ako,It was raining so long that I was bathing,0
bilihan mo ko nito salamat,I will buy it thanks,bilihan mo ko nito salamat,I will buy it thanks,0
samahan mo ko kapag nanalo,Join me when I win,samahan mo ko kapag nanalo,Join me when I win,0
kapit tayo ha,Let's go,kapit tayo ha,Let's go,0
Ako lang ba na sa daming iniisip hindi kana nakakaramdam ng gutom,Do I just think that in a lot of people who don't feel hungry,Ako lang ba na sa daming iniisip hindi kana nakakaramdam ng gutom,Do I just think that in a lot of people who don't feel hungry,0
Dami ko work today pero parang mas marami ako nasendan ng memes,I work a lot today but it seems like I have more memes,Dami ko work today pero parang mas marami ako nasendan ng memes,I work a lot today but it seems like I have more memes,0
papasok nanaman akong wet,I'm going to get wet,papasok nanaman akong wet,I'm going to get wet,0
swerte ko sa amo ko,Luckily for my boss,swerte ako sa amo ko,I'm lucky to my boss,0
matanda pa sa akin yan,that is older than me,matanda pa sa akin yan,that is older than me,0
Sana ito na ang inaantay na plot twist,Hope this is the Watching Plot Twist,Sana ito na ang inaantay ko na plot twist,Hope this is what I look forward to plot twist,0
Hindi na ako makarelate sa kanila,I can't relate to them anymore,Hindi na ako makarelate sa kanila,I can't relate to them anymore,0
Ang hirap ng ganito,The hardships of this,Ang hirap ng ganito,The hardships of this,0
sana makabili na,Hope to buy that,sana makabili na,Hope to buy that,0
Nakita ko lang,I just saw,Nakita ko lang,I just saw,0
Can't be exiled by sadness,Can't be exiled by sadness,Can't be exiled by sadness,Can't be exiled by sadness,0
Wala ba talagang malalandi sa boracay,Is there really nothing to flirt in Boracay,Wala ba talagang malalandi sa boracay,Is there really nothing to flirt in Boracay,1
inggit ka na naman,Envy you again,inggit ka na naman,Envy you again,1
stress na naman ako,stress me again,stress na naman ako,stress me again,1
Tanga para sa tamang tao mapapagalitan na naman ako sasabihin maghintay muna at siya ang pupunta after internship nya,Stupid for the right person I can get angry again and he'll wait and he'll go after his internship,Tanga para sa tamang tao mapapagalitan na naman ako. sasabihin na maghintay muna at siya ang pupunta after internship nya,Stupid for the right person I can get angry again. It will be said to wait first and he will go after his internship,1
Pwede bang maging robot,Can i be a robot,Pwede bang maging robot,Can i be a robot,0
itaas ang kamay kung alam mo kung Saan Ito,Raise the hand if you know where it is,Itaas ang mo ang kamay mo kung alam mo kung Saan Ito,Raise your hand if you know where it is,0
Tas minsan dadalhan pa ko ng pagkain sa gabi,Sometimes I even bring food at night,Tas minsan dadalhan niya pa ko ng pagkain sa gabi,Sometimes he'll even bring me some night food,0
Ngayon ko lang narealize domoble pala yung population ng inutil sa Pilipinas Noong 2016 meron tayong 16m na inutil Itong taon naging 31m Galing ko pala sa math,Now I just realized that the population of the impotence in the Philippines in 2016 was 16M that this year was 31m from Math,Ngayon ko lang narealize domoble pala yung population ng inutil sa Pilipinas. Noong 2016 meron tayong 16m na inutil Itong taon naging 31m. Galing ko pala sa math,Now I just realized that the population of the impotence in the Philippines is dominant. In 2016 we had 16m that was useful this year became 31m. I'm good at math,1
Wala na ata gagawin mata ko,No more to do my eyes,Wala na ata gagawin mata ko,No more to do my eyes,0
medyo hindi na masakit sa mata yung 7 assessments,quite not that eye painful 7 assessments,medyo hindi na masakit sa mata yung 7 assessments,quite not that eye painful 7 assessments,0
mga tanga walang genuine love sa gimikan,fools no genuine love in gimmick,mga tanga walang genuine love sa gimikan,fools no genuine love in gimmick,1
May nag aabang nanaman ng ulan kasi maliligo daw ulit,Someone is waiting for the rain to take a shower again,mga tanga kayo. walang genuine love sa gimikan,You fools. There is no genuine love in the gimmick,0
Doon ka sa babaeng may effort makasama ka lang,You are there with a woman with an effort to be with you just,Doon ka sa babaeng may effort makasama ka lang,You are there with a woman with an effort to be with you just,0
Walang katapusang pagsosolve,Endless solving,Walang katapusang pagsosolve,Endless solving,0
TANGINA MO. HAYOP KA,Tangina mo. You're a beast,TANGINA MO. HAYOP KA,Tangina mo. You're a beast,1
kala ko naman kasama mo bf mo sa picture,I'm sorry with you bf you in the picture,akala ko naman kasama mo boyfriend mo sa picture,I thought you were with your boyfriend in the picture,0
Madaming mga Tao kasi mahilig gumawa ng Kwento para pag usapan Kahitali naman ang sinasabi,Many people love to make stories to talk about even when it says,Madaming mga Tao kasi mahilig gumawa ng Kwento para pag usapan Kahit mali naman ang sinasabi,Many people love to make stories to talk about even wrongly saying,0
Pero di ako yung nagbebenta,But I'm not the seller,Pero di ako yung nagbebenta,But I'm not the seller,0
Gusto ko ng Ligaya,I like happiness,Gusto ko ng Ligaya,I like happiness,0
LINTIK KA TAWANG TAWA KO SAYO I GET IT HAYUP KA,You laugh at me laughing at you I get it,LINTIK KA TAWANG TAWA KO SAYO. I GET IT. HAYOP KA,You laugh at me laughing at you. I get it. You're a beast,1
Respect her opinion daw pero sila ayaw nila ng opinion na di ayon sa truth nila,Respect her opinion but they don't want their opinions according to their truth,Respect her opinion daw pero sila ayaw nila ng opinion na di ayon sa truth nila,Respect her opinion but they don't want their opinions according to their truth,1
Paano ako magtutupi Kung yung panahon lakas makaantok,How can I cover up when the time is so sleepy,Paano ako magtutupi Kung yung panahon ay malakas makaantok,How can I cover if that weather is so sleepy,0
kairita talaga mga taong maarte Kainis,It is very frustrating people who are artistic,nakakairita talaga yung mga taong maarte. Kainis,The artistic people are really upset. Annoying,1
namamansin ba to,Do you notice,namamansin ba ito,Does it notice,1
Extra noodles dahil malakas ako kumain,Extra noodles because I'm strong to eat,Extra noodles dahil malakas ako kumain,Extra noodles because I'm strong to eat,0
Nandito na ako sa exciting part,I'm here in the exciting part,Nandito na ako sa exciting part,I'm here in the exciting part,0
tuwing lalabas lang ng dorm nagagamit ko phone ko,Whenever I just get out of the dorm I use my phone,tuwing lalabas lang ng dorm nagagamit ko phone ko,Whenever I just get out of the dorm I use my phone,0
Dahil night shift nanaman ang baby ko minsan nalang kami mag videocall sa office at sa gabi,Since my baby is a night shift we sometimes have a videocall in the office and at night,Dahil night shift nanaman ang baby ko minsan nalang kami mag videocall sa office at sa gabi,Since my baby is a night shift we sometimes have a videocall in the office and at night,0
Bigla ako nag crave sa crispy pata,Suddenly I crave to crispy pata,Bigla ako nag crave sa crispy pata,Suddenly I crave to crispy pata,0
ang gago nila,They are crazy,ang gago nila,They are crazy,1
Di ko tuloy matanong sino nag lagay sa kanila,I can't ask who's going to ask them,Di ko tuloy matanong sino ang naglagay sa kanila,I do not ask who put them in,0
TINATAMAD AKO GUMAWA NG REFLECTION,I was reluctant to make a reflection,TINATAMAD AKO GUMAWA NG REFLECTION,I was reluctant to make a reflection,1
End of the month na kaagad,End of the Month immediately,End of the month na kaagad,End of the Month immediately,0
Send picture po whole body at face no dick required for my bday sex,Send picture po whole body at face no dick required for my bday sex,Send picture po whole body and face no dick required for my birthday sex,Send picture po whole body and face no dick required for my birthday sex,1
1 week na akong puyat at palaging overtime,1 week I've been watching and always overtime,1 week na akong puyat at palaging overtime,1 week I've been watching and always overtime,0
Bata yung mindset,The mindset is young,Bata yung mindset,The mindset is young,1
Sarap na lang humiga neto,It's nice to just lie down,Sarap na lang humiga nito,It is good to just lie down,0
Sinira ang lock ng kwarto ko Grabe pati mga tshirt poloshirt Pati mga jacket Mga pang work ubos,Broken the lock of my room as well as tshirt poloshirts as well as jackets work consuming,"Sinira ang lock ng kwarto ko. Grabe. pati mga tshirt poloshirt, Pati mga jacket, Mga pangwork. nawala","My room lock broke. Grabe. Even tshirt poloshirts, as well as jackets, work. lost",1
mamamatay na ako kakaubo,I'm going to die,mamamatay na ako kakaubo,I'm going to die,1
Nakatulog ako pag gising ko naka cap nako tas may shirt sa harap,I fell asleep when I woke up with a cap I had a front shirt,Nakatulog ako. pag gising ko naka cap na ako tapos may shirt sa harap,I fell asleep. When I woke up I had a cap and I had a shirt in front,0
8 hours na walang paramdam tapos ako pa yung walang oras,8 hours without a hint I still have no time,8 hours na walang paramdam tapos ako pa yung walang oras,8 hours without a hint I still have no time,1
Pwede na ba yan sa trabaho Kahit wala kang skills,Can you do that at work even if you don't have skills,Pwede na ba yan sa trabaho Kahit wala kang skills,Can you do that at work even if you don't have skills,1
Ang maipagmamalaki ko lang talaga ay masipag po ako,All I have to be proud of is that I'm really hardworking,Ang maipagmamalaki ko lang talaga ay masipag po ako,All I have to be proud of is that I'm really hardworking,0
Memes lang po,Memes lang po,Memes lang po,Memes lang po,0
Man this film is dope,Man this film is dope,Man this film is dope,Man this film is dope,0
Hit me like a ray of sun,Hit me like a ray of sun,Hit me like a ray of sun,Hit me like a ray of sun,0
sa panaginip walang activity,In a dream there is no activity,sa panaginip walang activity,In a dream there is no activity,0
Sarap naman,Delicious,Sarap naman,Delicious,0
Welcome home happy to meet you,Welcome home happy to meet you,Welcome home. happy to meet you.,Welcome home. happy to meet you.,0
It s time for some beach therapy,It s time for some beach therapy,It s time for some beach therapy,It s time for some beach therapy,0
Umamin siya na may troll siya,He admits that he has a troll,Umamin siya na may troll siya,He admits that he has a troll,1
Ngayon ko nalang ulit nakasamang maligo sa ulan ung mga kaibigan ko dito,Now I have to bathe again in the rain my friends here,Ngayon ko nalang ulit nakasamang maligo sa ulan yung mga kaibigan ko dito,Now I have to bathe in the rain again with my friends here,0
Thank God I am working from home today so I helped out mother dear sort our her PC and other stuff to look even more organized and comfy for her Keep safe everyone Wednesday grind starts in 10 minutes,Thank God I am working from home today so I helped out mother dear sort our her PC and other stuff to look even more organized and comfy for her Keep safe everyone Wednesday grind starts in 10 minutes,Thank God I am working from home today so I helped out mother dear sort our her PC and other stuff to look even more organized and comfy for her Keep safe everyone Wednesday grind starts in 10 minutes,Thank God I am working from home today so I helped out mother dear sort our her PC and other stuff to look even more organized and comfy for her Keep safe everyone Wednesday grind starts in 10 minutes,0
We live in the same place now,We live in the same place now,We live in the same place now,We live in the same place now,0
Straightforward is good shit,Straightforward is good shit,Straightforward is good shit,Straightforward is good shit,0
Bahala ka na nga,It's up to you,Bahala ka na nga,It's up to you,1
Kape sa tagulan pero yung malamig,Coffee in the rainy but the cold,"Kape sa tagulan, pero yung malamig yung kape","Coffee in the rainy season, but the coffee is cold",0
Hala pototoy abuse na yan,Hala phototoy abuse na yan,titi abuse na iyan,dick abuse that,1
Wala akong pake,I do not care,Wala akong pake,I do not care,1
Hello po good afternoon po sa inyong lahat,Hello po good afternoon po to all of you,Hello po. Good afternoon sa inyong lahat,Hello. Good afternoon to all of you,0
bait ng ka condomate ko,My condomate is good,bait ng ka condomate ko,My condomate is good,0
tamad na tamad ako ngayon pero pinipilit kong gawin itong mga ito,I'm so lazy right now but I'm trying to make them,tamad na tamad ako ngayon pero pinipilit kong gawin itong mga ito,I'm so lazy right now but I'm trying to make them,1
gusto ko ng lugaw kasi laman ng puso ko ay ikaw,I want a porridge because my heart is you,gusto ko ng lugaw kasi laman ng puso ko ay ikaw,I want a porridge because my heart is you,0
Send nudes for today's birthday,Send nudes for today's birthday,Send nudes for today's birthday,Send nudes for today's birthday,1
I deserve a good And authentic Japanese food today,I deserve a good And authentic Japanese food today,I deserve a good And authentic Japanese food today,I deserve a good And authentic Japanese food today,0
opo tamad kaming lahat,Yes we are all lazy,"opo, tamad kaming lahat","Yes, we're all lazy",1
sana sinama mo kami diba,I hope you join us right,"sana sinama mo kami, hindi ba","Hope you joined us, didn't you",0
Ube champorado sa maulang hapon,UBE CHAMPORADO in the rainy afternoon,Ube champorado sa maulang hapon,UBE CHAMPORADO in the rainy afternoon,0
buti na lamang may tanim ang inay na halaman,Fortunately the mother plants have a plant,buti na lamang may tinanim na halaman ang aking inay,Fortunately my mother planted a plant,0
Kasi wala ka namang tamang sasabihin,Because you have nothing right to say,Kasi wala ka namang tamang sasabihin,Because you have nothing right to say,1
gutom na ko,I am hungry,gutom na ko,I am hungry,0
Willing din ako magbenta ng boobs,Willing also i sell boobs,Willing din ako magbenta ng boobs,Willing also i sell boobs,1
tanginang sakit mo,You are sick,tanginang sakit mo,You are sick,1
Hello Manila at last,Hello Manila at last,Hello Manila at last,Hello Manila at last,0
Yung panget ka na nga at ang baho pa ng ugali mo,You are so ugly and the smell of your behavior,Yung panget ka na nga at ang baho pa ng ugali mo,You are so ugly and the smell of your behavior,1
Are you dumb Buang ka,Are you dumb you are crazy,Are you dumb Buang ka,Are you dumb you are crazy,1
Life itself is an art You help decide with what you do with your piece,Life itself is an art You help decide with what you do with your piece,Life itself is an art. You help decide with what you do with your piece.,Life itself is an art. You help decide with what you do with your piece.,0
Sarap pasta,Sarap pasta,Sarap ng pasta,Enjoy the pasta,0
Boring mo naman,Boring mo naman,Boring mo naman,Boring mo naman,1
ngayon Papunta palang kasi tayo sa exciting part,Now let's go to the exciting part,"Ngayon, papunta palang kasi tayo sa exciting part","Now, let's go to the exciting part",0
I just want someone to look at me and say she's worth everything,I just want someone to look at me and say she's worth everything,I just want someone to look at me and say she's worth everything,I just want someone to look at me and say she's worth everything,0
Delikado na Fever on repeat na ako on my way to work,Dangerous fever on repeat I'm on my way to work,Delikado na Fever. on repeat na ako. On my way to work,Dangerous fever. I'm on repeat. On my way to work,0
Salamat po,thank you,Salamat po,thank you,0
pati panahon hindi ko na din maintindihan,as well as time I do not understand,Pati panahon hindi ko na din maintindihan,As well as time I do not understand,0
nakapagedit nang wala sa oras,edited in no time,Nakapagedit nang wala sa oras,Edited in no time,0
Di ka talaga paborito,You are not really a favorite,Di ka talaga paborito,You are not really a favorite,1
palitan mo nalang yung obnoxious ass,replace the obnoxious ass,Palitan mo nalang yung obnoxious ass,Replace the obnoxious ass,1
Sobrang lamig need ko maraming kape,Extremely cold I need a lot of coffee,Sobrang lamig. Need ko maraming kape,It's freezing. I need a lot of coffee,0
